TERM,REQUIREMENT,TYPE,ONTOLOGY ACCESSION,USAGE (TEMPLATES),VALUES SOURCE,SPECIAL VALUES,DESCRIPTION
elution conditions,OPTIONAL,comment,to be filled,immunopeptidomics,free text,"N/A
N/Av",Conditions used for peptide elution from MHC complexes
enrichment marker,OPTIONAL,characteristics,to be filled,single-cell,free text,"N/A
N/Av",Markers used for cell sorting/enrichment
enrichment process,REQUIRED,characteristics,to be filled,crosslinking,"fixed: enrichment of cross-linked peptides, not applicable",N/A,Indicates if the sample was enriched for cross-linked peptides
environmental sample type,REQUIRED,characteristics,to be filled,metaproteomics,ENVO EFO,N/A,Type of environmental sample analyzed
fraction identifier,REQUIRED,comment,MS:1000858,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,integer,—,Fraction number for fractionated samples
fractionation method,OPTIONAL,comment,PRIDE:0000550,dda-acquisition,PRIDE (children of PRIDE:0000550) 📖,"N/A
N/Av",Peptide fractionation method used before MS analysis
fragment mass tolerance,OPTIONAL,comment,MS:1001413,dia-acquisition dda-acquisition,pattern: number + ppm/Da 📖,"N/A
N/Av",Fragment mass tolerance for database search
genotype,OPTIONAL,characteristics,EFO:0000513,single-cell,free text,"N/A
N/Av",Genotype of the organism (for model organisms)
geographic location,RECOMMENDED,characteristics,GAZ:00000448,metaproteomics,GAZ,"N/A
N/Av",Geographic location where sample was collected
host disease,OPTIONAL,characteristics,to be filled,metaproteomics,MONDO DOID,"N/A
N/Av",Disease state of the host organism
host organism,OPTIONAL,characteristics,to be filled,metaproteomics,NCBITaxon,"N/A
N/Av",Host organism for host-associated microbiome samples
immunopeptidome enrichment method,REQUIRED,characteristics,to be filled,immunopeptidomics,"fixed: immunoaffinity purification, mild acid elution, detergent lysis",—,Method used to enrich MHC-bound peptides
individual,OPTIONAL,characteristics,to be filled,human cell-lines,free text pattern,"N/A
N/Av",Unique identifier for the donor individual
instrument,REQUIRED,comment,MS:1000031,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,MS (PSI-MS),—,Mass spectrometer instrument used
isolation window width,RECOMMENDED,comment,MS:1000828,dia-acquisition,numeric m/z,"N/A
N/Av",Width of the isolation window in m/z units
label,REQUIRED,comment,PRIDE:0000093,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,PRIDE 📖,—,Labeling strategy used for quantification
metagenome accession,OPTIONAL,comment,to be filled,metaproteomics,accession pattern,"N/A
N/Av",Accession number for matched metagenome data
MHC protein complex,REQUIRED,characteristics,GO:0042611,immunopeptidomics,"fixed: MHC class I protein complex, MHC class II protein complex, non-classical MHC protein complex, mutant MHC protein complex, MHC protein complex with serotype",—,MHC protein complex targeted for immunopeptidome enrichment (MRO terms under GO:0042611)
MHC typing,RECOMMENDED,characteristics,PRIDE:0000893,immunopeptidomics,IPD-MHC nomenclature (https://www.ebi.ac.uk/ipd/mhc/); IPD-IMGT/HLA for human,"N/A
N/Av",MHC allelic composition of the sample following IPD-MHC nomenclature
MHC typing method,OPTIONAL,characteristics,PRIDE:0000894,immunopeptidomics,"fixed: NGS-based typing (NCIT:C101293), sequence-based typing (NCIT:C130180), PCR-SSO (NCIT:C130181), PCR-SSP (NCIT:C130179), PCR-based genotyping (NCIT:C17003), predicted from RNA-seq, inferred from mass spectrometry, inbred strain (known genotype)","N/A
N/Av",Method used to determine MHC alleles
modification parameters,RECOMMENDED,comment,MS:1001055,dia-acquisition dda-acquisition,Unimod PSI-MOD 📖,N/Av,Post-translational modifications searched
MS2 mass analyzer,OPTIONAL,comment,MS:1000443,dia-acquisition dda-acquisition,MS (PSI-MS) 📖,"N/A
N/Av",Mass analyzer used for MS2 acquisition
organism,REQUIRED,characteristics,OBI:0100026,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,NCBITaxon 📖,N/A,Species of the sample
organism part,RECOMMENDED,characteristics,EFO:0000635,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,UBERON BTO 📖,"N/A
N/Av",Anatomical part of the organism
organism part,OPTIONAL,factor value,EFO:0000635,ms-proteomics human,UBERON BTO,—,Factor value indicating tissue/organ is the experimental variable
passage number,OPTIONAL,comment,to be filled,cell-lines,integer or range,"N/A
N/Av",Passage number of the cell line
pH,OPTIONAL,characteristics,PATO:0001842,metaproteomics,numeric,"N/A
N/Av",pH at sampling location
precursor mass tolerance,OPTIONAL,comment,MS:1001412,dia-acquisition dda-acquisition,pattern: number + ppm/Da 📖,"N/A
N/Av",Precursor mass tolerance for database search
proteomics data acquisition method,REQUIRED,comment,PRIDE:0000989,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,PRIDE,N/A,Mass spectrometry acquisition method
quenching reagent,OPTIONAL,comment,to be filled,crosslinking,free text,"N/A
N/Av",Reagent used to quench the crosslinking reaction
reference channel,OPTIONAL,comment,to be filled,single-cell,TMT channel pattern,"N/A
N/Av",TMT channel used for reference/booster
