Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cultured cell]	Characteristics[age]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	characteristics[disease]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD014528-Sample 5	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	tissue	ef2b5d047b83985cd32a42b5dfe3cc3aa5c4f1b9b1d0a4bb4bc79451d3d53cad	SAMEA7717419
PXD014528-Sample 5	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw	tissue	ef2b5d047b83985cd32a42b5dfe3cc3aa5c4f1b9b1d0a4bb4bc79451d3d53cad	SAMEA7717419
PXD014528-Sample 6	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	tissue	a8831da0b4ef213d6daf4ab8aa3347a3d092ea96c6712169f802131e767a9b58	SAMEA7717420
PXD014528-Sample 6	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw	tissue	a8831da0b4ef213d6daf4ab8aa3347a3d092ea96c6712169f802131e767a9b58	SAMEA7717420
PXD014528-Sample 6	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	tissue	a8831da0b4ef213d6daf4ab8aa3347a3d092ea96c6712169f802131e767a9b58	SAMEA7717420
PXD014528-Sample 7	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	tissue	987151cb231f3529c8012ac2ec418bc2cae9727c1489033456dcfd8dafac2d3a	SAMEA7717421
PXD014528-Sample 7	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	tissue	987151cb231f3529c8012ac2ec418bc2cae9727c1489033456dcfd8dafac2d3a	SAMEA7717421
PXD014528-Sample 7	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 18	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw	tissue	987151cb231f3529c8012ac2ec418bc2cae9727c1489033456dcfd8dafac2d3a	SAMEA7717421
PXD014528-Sample 8	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 19	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	tissue	831957a99601b41581eb0e40e876394143ba1898c6192d52d7aea17f7f30d6af	SAMEA7717422
PXD014528-Sample 8	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 20	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	tissue	831957a99601b41581eb0e40e876394143ba1898c6192d52d7aea17f7f30d6af	SAMEA7717422
