Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cultured cell]	Characteristics[age]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	characteristics[disease]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD014528-Sample 12	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 31	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	tissue	99b8468280d0092cb343b60376b8b4365f2cf1a274ff4e82465b74c3b5295417	SAMEA7717426
PXD014528-Sample 12	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 32	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	tissue	99b8468280d0092cb343b60376b8b4365f2cf1a274ff4e82465b74c3b5295417	SAMEA7717426
PXD014528-Sample 12	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 33	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw	tissue	99b8468280d0092cb343b60376b8b4365f2cf1a274ff4e82465b74c3b5295417	SAMEA7717426
PXD014528-Sample 13	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 34	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1A.raw	20150105_Q1_SA_YaAt_ESC_proteome_1A.raw	tissue	db71eb10ce91d7e29d6a75dfadf313a452d2dedabd738a5116d75a238c5873c1	SAMEA7717427
PXD014528-Sample 13	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 35	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	tissue	db71eb10ce91d7e29d6a75dfadf313a452d2dedabd738a5116d75a238c5873c1	SAMEA7717427
PXD014528-Sample 13	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 36	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1C.raw	20150105_Q1_SA_YaAt_ESC_proteome_1C.raw	tissue	db71eb10ce91d7e29d6a75dfadf313a452d2dedabd738a5116d75a238c5873c1	SAMEA7717427
PXD014528-Sample 14	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 37	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	tissue	2a374a670d7091a6d1533e31a2cf81bb784c2a968b8ae23a3908d501624f4f09	SAMEA7717428
PXD014528-Sample 14	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 38	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	tissue	2a374a670d7091a6d1533e31a2cf81bb784c2a968b8ae23a3908d501624f4f09	SAMEA7717428
PXD014528-Sample 14	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 39	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2C.raw	20150105_Q1_SA_YaAt_ESC_proteome_2C.raw	tissue	2a374a670d7091a6d1533e31a2cf81bb784c2a968b8ae23a3908d501624f4f09	SAMEA7717428
PXD014528-Sample 15	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 40	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	tissue	16c9ef217b67b81a6714225ff53556880f94263c9358559bc9727eca9736bb4d	SAMEA7717429
PXD014528-Sample 15	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 41	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3B.raw	20150105_Q1_SA_YaAt_ESC_proteome_3B.raw	tissue	16c9ef217b67b81a6714225ff53556880f94263c9358559bc9727eca9736bb4d	SAMEA7717429
PXD014528-Sample 15	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 42	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	tissue	16c9ef217b67b81a6714225ff53556880f94263c9358559bc9727eca9736bb4d	SAMEA7717429
PXD014528-Sample 16	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 43	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	tissue	e846876885075b90d41e30e044960004206e9e53c82bee32cf77c13527a008fb	SAMEA7717430
PXD014528-Sample 16	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 44	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4B.raw	20150105_Q1_SA_YaAt_ESC_proteome_4B.raw	tissue	e846876885075b90d41e30e044960004206e9e53c82bee32cf77c13527a008fb	SAMEA7717430
PXD014528-Sample 16	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 45	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	tissue	e846876885075b90d41e30e044960004206e9e53c82bee32cf77c13527a008fb	SAMEA7717430
PXD014528-Sample 17	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 46	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7A.raw	20150105_Q1_SA_YaAt_ESC_proteome_7A.raw	tissue	fbec93e97b546f668ef6484a0d64c25f0c416289b1dc38cd3814e33683981569	SAMEA7717431
PXD014528-Sample 17	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 47	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7B.raw	20150105_Q1_SA_YaAt_ESC_proteome_7B.raw	tissue	fbec93e97b546f668ef6484a0d64c25f0c416289b1dc38cd3814e33683981569	SAMEA7717431
PXD014528-Sample 17	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 48	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7C.raw	20150105_Q1_SA_YaAt_ESC_proteome_7C.raw	tissue	fbec93e97b546f668ef6484a0d64c25f0c416289b1dc38cd3814e33683981569	SAMEA7717431
