domain,category,value,fraction
isolation_window_full_width,1.5,7199565.0,0.037258610553023326
isolation_window_full_width,0.7,8538211.0,0.04418626381851402
isolation_window_full_width,1.2,17743148.0,0.09182291448395212
isolation_window_full_width,2.1,1430674.0,0.0074039091798374064
isolation_window_full_width,1.8,3345166.0,0.01731163441530354
isolation_window_full_width,1.7,2245856.0,0.011622573594678396
isolation_window_full_width,0.4,191282.0,0.000989907243535326
isolation_window_full_width,1.4,14994775.0,0.07759975527066015
isolation_window_full_width,1.3,6190903.0,0.03203866398157997
isolation_window_full_width,0.9,132628.0,0.0006863657735469266
isolation_window_full_width,0.8,1494957.0,0.007736581398531174
isolation_window_full_width,0.6,144158.0,0.0007460349035119118
isolation_window_full_width,2.4,43815.0,0.00022674786898662866
isolation_window_full_width,21,6940.0,3.59153306120553e-05
isolation_window_full_width,22,3471.0,1.7962840425712382e-05
isolation_window_full_width,23,15088.0,7.80822058032695e-05
isolation_window_full_width,24,21620.0,0.00011188608758395325
isolation_window_full_width,25,14558.0,7.533939237036038e-05
isolation_window_full_width,27,6940.0,3.59153306120553e-05
isolation_window_full_width,30,6941.0,3.592050573174003e-05
isolation_window_full_width,35,9014.0,4.664852883819401e-05
isolation_window_full_width,37,3471.0,1.7962840425712382e-05
isolation_window_full_width,38,3470.0,1.795766530602765e-05
isolation_window_full_width,43,3470.0,1.795766530602765e-05
isolation_window_full_width,53,3470.0,1.795766530602765e-05
isolation_window_full_width,72,3470.0,1.795766530602765e-05
isolation_window_full_width,103,3470.0,1.795766530602765e-05
isolation_window_full_width,594,3470.0,1.795766530602765e-05
isolation_window_full_width,29,109291.0,0.0005655940054642847
isolation_window_full_width,0,924.0,4.781810588694395e-06
isolation_window_full_width,0.5,336968.0,0.0017438497299255115
isolation_window_full_width,9.2,5735.0,2.9679311391950597e-05
isolation_window_full_width,9.6,9568.0,4.951554514353676e-05
isolation_window_full_width,9.9,10519.0,5.4437083963718974e-05
isolation_window_full_width,10,20085.0,0.00010394227886788626
isolation_window_full_width,10.1,5737.0,2.9689661631320064e-05
isolation_window_full_width,10.5,10519.0,5.4437083963718974e-05
isolation_window_full_width,10.8,4784.0,2.475777257176838e-05
isolation_window_full_width,10.9,5734.0,2.9674136272265862e-05
isolation_window_full_width,11,4784.0,2.475777257176838e-05
isolation_window_full_width,11.1,4782.0,2.474742233239891e-05
isolation_window_full_width,11.4,4782.0,2.474742233239891e-05
isolation_window_full_width,11.5,9566.0,4.950519490416729e-05
isolation_window_full_width,12,9568.0,4.951554514353676e-05
isolation_window_full_width,12.6,5734.0,2.9674136272265862e-05
isolation_window_full_width,13,140149.0,0.0007252878486958124
isolation_window_full_width,13.5,9564.0,4.949484466479782e-05
isolation_window_full_width,15,100550.0,0.000520358284300023
isolation_window_full_width,16,155145.0,0.0008028939434880863
isolation_window_full_width,17.1,4784.0,2.475777257176838e-05
isolation_window_full_width,17.9,4782.0,2.474742233239891e-05
isolation_window_full_width,18.5,4782.0,2.474742233239891e-05
isolation_window_full_width,19.6,4784.0,2.475777257176838e-05
isolation_window_full_width,21.2,4781.0,2.4742247212714175e-05
isolation_window_full_width,22.4,4784.0,2.475777257176838e-05
isolation_window_full_width,27.9,4780.0,2.4737072093029443e-05
isolation_window_full_width,30.6,4784.0,2.475777257176838e-05
isolation_window_full_width,38.2,4780.0,2.4737072093029443e-05
isolation_window_full_width,57.1,4784.0,2.475777257176838e-05
isolation_window_full_width,69.4,4780.0,2.4737072093029443e-05
isolation_window_full_width,279,4780.0,2.4737072093029443e-05
isolation_window_full_width,5,151988.0,0.0007865560906433805
isolation_window_full_width,45.7,96472.0,0.000499254146225677
isolation_window_full_width,8.3,952.0,4.926713939866951e-06
isolation_window_full_width,8.5,1904.0,9.853427879733903e-06
isolation_window_full_width,8.6,952.0,4.926713939866951e-06
isolation_window_full_width,8.7,952.0,4.926713939866951e-06
isolation_window_full_width,8.9,1905.0,9.858602999418638e-06
isolation_window_full_width,9,4760.0,2.4633569699334758e-05
isolation_window_full_width,9.5,4761.0,2.4638744819019493e-05
isolation_window_full_width,10.3,953.0,4.931889059551686e-06
isolation_window_full_width,10.6,952.0,4.926713939866951e-06
isolation_window_full_width,10.7,952.0,4.926713939866951e-06
isolation_window_full_width,11.2,953.0,4.931889059551686e-06
isolation_window_full_width,11.3,952.0,4.926713939866951e-06
isolation_window_full_width,12.3,953.0,4.931889059551686e-06
isolation_window_full_width,13.2,952.0,4.926713939866951e-06
isolation_window_full_width,14.1,952.0,4.926713939866951e-06
isolation_window_full_width,14.5,1905.0,9.858602999418638e-06
isolation_window_full_width,17.2,953.0,4.931889059551686e-06
isolation_window_full_width,17.7,952.0,4.926713939866951e-06
isolation_window_full_width,21.1,952.0,4.926713939866951e-06
isolation_window_full_width,23.8,952.0,4.926713939866951e-06
isolation_window_full_width,28.5,952.0,4.926713939866951e-06
isolation_window_full_width,30.3,952.0,4.926713939866951e-06
isolation_window_full_width,42.7,952.0,4.926713939866951e-06
isolation_window_full_width,59.6,952.0,4.926713939866951e-06
isolation_window_full_width,88,952.0,4.926713939866951e-06
isolation_window_full_width,3.5,35573.0,0.00018409453254504944
isolation_window_full_width,18,56295.0,0.00029133336265211137
isolation_window_full_width,20,33264.0,0.0001721451811929982
isolation_window_full_width,50,10840.0,5.609829738251865e-05
isolation_window_full_width,242,5544.0,2.8690863532166364e-05
isolation_window_full_width,100,7944.0,4.111115077552843e-05
isolation_window_full_width,34,4266.0,2.207706057507607e-05
isolation_window_full_width,48,4266.0,2.207706057507607e-05
isolation_window_full_width,55,2134.0,1.1043705407222768e-05
