source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[hours post infection]	characteristics[compound]	characteristics[biological replicate]	characteristics[animal experiment id]	characteristics[mouse id]	characteristics[sex]	characteristics[excluded]	technology type	assay name	comment[data file]	comment [fractionation method]	comment[fraction identifier]	comment[technical replicate]	characteristics[pooled sample]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[data acquisition]	comment[modification parameters]	factor value[factor]
spleen180802-T0T6_HpH_7	Mus musculus	Spleen	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_4, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 78	dda/CK_P1911_151.raw	off-line high pH	7	2	"180805_1, 180805_2, 180805_3, 180805_4, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	spleen180802-T0T6_HpH_7
spleen180802-T0T6_HpH_8	Mus musculus	Spleen	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_4, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 79	dda/CK_P1911_152.raw	off-line high pH	8	2	"180805_1, 180805_2, 180805_3, 180805_4, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	spleen180802-T0T6_HpH_8
plasma180802-T0T6_HpH_1	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 80	dda/CK_P1911_013.raw	off-line high pH	1	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_1
plasma180802-T0T6_HpH_2	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 81	dda/CK_P1911_014.raw	off-line high pH	2	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_2
plasma180802-T0T6_HpH_3	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 82	dda/CK_P1911_015.raw	off-line high pH	3	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_3
plasma180802-T0T6_HpH_4	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 83	dda/CK_P1911_016.raw	off-line high pH	4	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_4
plasma180802-T0T6_HpH_5	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 84	dda/CK_P1911_017.raw	off-line high pH	5	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_5
plasma180802-T0T6_HpH_6	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 85	dda/CK_P1911_018.raw	off-line high pH	6	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_6
plasma180802-T0T6_HpH_7	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 86	dda/CK_P1911_019.raw	off-line high pH	7	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_7
plasma180802-T0T6_HpH_8	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 87	dda/CK_P1911_020.raw	off-line high pH	8	1	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_8
plasma180802-T0T6_HpH_1	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 88	dda/CK_P1911_023.raw	off-line high pH	1	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_1
plasma180802-T0T6_HpH_2	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 89	dda/CK_P1911_024.raw	off-line high pH	2	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_2
plasma180802-T0T6_HpH_3	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 90	dda/CK_P1911_025.raw	off-line high pH	3	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_3
plasma180802-T0T6_HpH_4	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 91	dda/CK_P1911_026.raw	off-line high pH	4	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_4
plasma180802-T0T6_HpH_5	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 92	dda/CK_P1911_027.raw	off-line high pH	5	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_5
plasma180802-T0T6_HpH_6	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 93	dda/CK_P1911_028.raw	off-line high pH	6	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_6
plasma180802-T0T6_HpH_7	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 94	dda/CK_P1911_029.raw	off-line high pH	7	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_7
plasma180802-T0T6_HpH_8	Mus musculus	Plasma	not available	not available	"naive, sepsis"	"0h, 6h"	None	1	180805	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	F	0	proteomic profiling by mass spectrometer	run 95	dda/CK_P1911_030.raw	off-line high pH	8	2	"180805_1, 180805_2, 180805_3, 180805_5, 180805_7, 180805_8, 180805_9, 180805_10, 180805_11, 180805_12"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T0T6_HpH_8
plasma180802-T12T18_HpH_1	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 96	dda/CK_P1911_032.raw	off-line high pH	1	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_1
plasma180802-T12T18_HpH_2	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 97	dda/CK_P1911_033.raw	off-line high pH	2	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_2
plasma180802-T12T18_HpH_3	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 98	dda/CK_P1911_034.raw	off-line high pH	3	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_3
plasma180802-T12T18_HpH_4	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 99	dda/CK_P1911_035.raw	off-line high pH	4	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_4
plasma180802-T12T18_HpH_5	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 100	dda/CK_P1911_036.raw	off-line high pH	5	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_5
plasma180802-T12T18_HpH_6	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 101	dda/CK_P1911_037.raw	off-line high pH	6	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_6
plasma180802-T12T18_HpH_7	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 102	dda/CK_P1911_038.raw	off-line high pH	7	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_7
plasma180802-T12T18_HpH_8	Mus musculus	Plasma	not available	not available	sepsis	"12h, 18h"	None	1	180805	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	F	0	proteomic profiling by mass spectrometer	run 103	dda/CK_P1911_039.raw	off-line high pH	8	1	"180805_14, 180805_15, 180805_16, 180805_17, 180805_18, 180805_19, 180805_20, 180805_21, 180805_22, 180805_23, 180805_24"	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1002877;NT= Q Exactive HF-X	AC=PRIDE:0000429;NT= Shotgun proteomics	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	plasma180802-T12T18_HpH_8
