pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P04.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P04.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P05.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P05.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P05.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P06.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P06.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P06.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P02.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P02.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P02.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P03.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140213_KMJ_CCS_MEKi_V3_30min_P03.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
