category,agentic_field,availability_fraction,availability_n,n_docs,pct,_cat_rank
biological,age,0.1481481481481481,4,27,14.814814814814811,0
biological,cell_line,0.3333333333333333,9,27,33.33333333333333,0
biological,cell_type,0.5185185185185185,14,27,51.85185185185185,0
biological,disease_state,0.5185185185185185,14,27,51.85185185185185,0
biological,sex,0.2592592592592592,7,27,25.92592592592592,0
biological,species,0.925925925925926,25,27,92.59259259259261,0
biological,tissue,0.6666666666666666,18,27,66.66666666666666,0
technical,acquisition_method,0.6296296296296297,17,27,62.96296296296296,1
technical,alkylation_reagent,0.7777777777777778,21,27,77.77777777777779,1
technical,cleavage_agent,0.9629629629629628,26,27,96.29629629629628,1
technical,collision_energy,0.6666666666666666,18,27,66.66666666666666,1
technical,enrichment_method,0.4444444444444444,12,27,44.44444444444444,1
technical,fragmentation_method,0.7777777777777778,21,27,77.77777777777779,1
technical,instrument,1.0,27,27,100.0,1
technical,labeling,0.5185185185185185,14,27,51.85185185185185,1
technical,mass_analyzer,0.6296296296296297,17,27,62.96296296296296,1
technical,ptm,0.7777777777777778,21,27,77.77777777777779,1
technical,reduction_reagent,0.7777777777777778,21,27,77.77777777777779,1
experimental_design,biological_replicate,0.2222222222222222,6,27,22.22222222222222,2
experimental_design,factor_value,0.8518518518518519,23,27,85.18518518518519,2
experimental_design,number_of_biological_replicates,0.2962962962962963,8,27,29.629629629629626,2
experimental_design,number_of_fractions,0.5925925925925926,16,27,59.25925925925925,2
experimental_design,number_of_technical_replicates,0.3333333333333333,9,27,33.33333333333333,2
experimental_design,technical_replicate,0.1111111111111111,3,27,11.11111111111111,2
