paper_id,source,mode,judge_accuracy_run1,judge_accuracy_run2,judge_accuracy_run3,mean_accuracy,std_accuracy,range_accuracy
PXD015272,hamlet_raw,inference,0.6957,0.6522,0.6957,0.6812,0.025114736709748713,0.04349999999999998
PXD015272,hamlet_raw,strict,0.913,0.913,0.913,0.9129999999999999,1.3597399555105182e-16,0.0
PXD015272,human_annotation,inference,0.3571,0.2143,0.3571,0.30949999999999994,0.08244561844027855,0.14279999999999998
PXD015272,human_annotation,strict,0.3571,0.3571,0.3571,0.3571,0.0,0.0
PXD015289,hamlet_harmonized,inference,0.6154,0.6154,0.8077,0.6795,0.11102445676516505,0.19230000000000003
PXD015289,hamlet_harmonized,strict,0.7308,0.7308,0.7308,0.7308,0.0,0.0
PXD015289,hamlet_raw,inference,0.8,0.72,0.92,0.8133333333333334,0.10066445913694336,0.20000000000000007
PXD015289,hamlet_raw,strict,0.84,0.88,0.88,0.8666666666666667,0.023094010767585053,0.040000000000000036
PXD015289,human_annotation,inference,0.6071,0.6786,0.6786,0.6547666666666666,0.041280544247058244,0.07150000000000001
PXD015289,human_annotation,strict,0.7857,0.7857,0.7857,0.7857,0.0,0.0
PXD018830,hamlet_harmonized,inference,0.5926,0.5926,0.5926,0.5926,0.0,0.0
PXD018830,hamlet_harmonized,strict,0.6296,0.6667,0.6667,0.6543333333333333,0.021419694986935064,0.03709999999999991
PXD018830,hamlet_raw,inference,0.7692,0.7308,0.7308,0.7435999999999999,0.022170250336881622,0.03839999999999999
PXD018830,hamlet_raw,strict,0.8077,0.8077,0.8077,0.8077,0.0,0.0
PXD018830,human_annotation,inference,0.3421,0.3421,0.3158,0.3333333333333333,0.015184312079687153,0.02629999999999999
PXD018830,human_annotation,strict,0.3158,0.3158,0.3684,0.3333333333333333,0.030368624159374306,0.05259999999999998
PXD019394,hamlet_harmonized,inference,0.5909,0.5909,0.5455,0.5757666666666666,0.02621170222120901,0.045399999999999996
PXD019394,hamlet_harmonized,strict,0.5909,0.6364,0.5909,0.6060666666666666,0.026269437248127962,0.045499999999999985
PXD019394,hamlet_raw,inference,0.7143,0.7143,0.6667,0.6984333333333334,0.027481872813426237,0.04760000000000009
PXD019394,hamlet_raw,strict,0.8095,0.8571,0.8095,0.8253666666666666,0.027481872813426175,0.047599999999999976
PXD019394,human_annotation,inference,0.2759,0.2759,0.2644,0.2720666666666667,0.00663952809568067,0.011499999999999955
PXD019394,human_annotation,strict,0.3333,0.3448,0.3333,0.3371333333333333,0.0066395280956807025,0.01150000000000001
PXD021383,hamlet_harmonized,inference,0.4762,0.5238,0.4762,0.49206666666666665,0.027481872813426206,0.04760000000000003
PXD021383,hamlet_harmonized,strict,0.5238,0.5714,0.5238,0.5396666666666667,0.02748187281342617,0.047599999999999976
PXD021383,hamlet_raw,inference,0.6,0.65,0.6,0.6166666666666667,0.028867513459481315,0.050000000000000044
PXD021383,hamlet_raw,strict,0.65,0.7,0.65,0.6666666666666666,0.028867513459481253,0.04999999999999993
PXD021383,human_annotation,inference,0.7333,0.8,0.7333,0.7555333333333333,0.03850926295494809,0.06670000000000009
PXD021383,human_annotation,strict,0.8,0.8,0.8,0.8000000000000002,1.3597399555105182e-16,0.0
PXD022741,hamlet_harmonized,inference,0.7826,0.8261,0.7826,0.7970999999999999,0.025114736709748713,0.04349999999999998
PXD022741,hamlet_harmonized,strict,0.8261,0.8261,0.7391,0.7970999999999999,0.05022947341949743,0.08699999999999997
PXD022741,hamlet_raw,inference,0.9091,0.9545,0.9091,0.9242333333333334,0.02621170222120901,0.045399999999999996
PXD022741,hamlet_raw,strict,0.9545,0.9545,0.8636,0.9242,0.05248113946933697,0.09089999999999998
PXD022741,human_annotation,inference,0.2143,0.2619,0.2381,0.2381,0.023800000000000016,0.04760000000000003
