source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	assay name	comment[fraction identifier]	comment[label]	comment[label]	comment[data file]	comment[associated file uri]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[label]	factor value[temperature]	factor value[growth rate]	factor value[overproduction]	factor value[overproduction]	factor value[induced by]	sampleChecksum	sampleAccession
PXD006195-XLV_37_3	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_37_3	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23101.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23101.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	37	medium	Strep-LpxC	Strep-tag	25 ng Anhydrotetracycline	cba4ed8b9ce75123fa3f2eff31dda30482a78e4e0a07f02a77c72a37e24a8478	SAMEA7715736
PXD006195-super_silac_37	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_37_3_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23101.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23101.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	40	medium	not applicable	not applicable	not applicable	cd45c1fe07aff9b2a37764276dcaa904ee06d80fc41329a60825ccc087f5dea9	SAMEA7715734
PXD006195-XLV_40_1	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_40_1	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23103.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23103.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	40	fast	Strep-LpxC	Strep-tag	40 ng Anhydrotetracycline	901441411d02ec45b53f1e758a2af9059f05f662eb113db296bea80ebe994785	SAMEA7715737
PXD006195-super_silac_40	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_40_1_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23103.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23103.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	40	fast	not applicable	not applicable	not applicable	f9d622e34dd66b25ea958920be518c636c9952962eecb18a1bf09fdcb523c278	SAMEA7715738
PXD006195-XLV_40_2	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_40_2	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23105.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	40	fast	Strep-LpxC	Strep-tag	40 ng Anhydrotetracycline	d7e4f947a6bd55e6ca62db26f617eea6c9f293f8da5e82811ec84c484fdc65f8	SAMEA7715739
PXD006195-super_silac_40	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_40_2_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23105.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	40	fast	not applicable	not applicable	not applicable	f9d622e34dd66b25ea958920be518c636c9952962eecb18a1bf09fdcb523c278	SAMEA7715738
PXD006195-XLV_40_3	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_40_3	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23107.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23107.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	40	fast	Strep-LpxC	Strep-tag	40ng Anhydrotetracycline	abf48856079470e72cf741103c77e8bf8ca0d34254e65d1fe203c7d2b6c123b0	SAMEA7715740
PXD006195-super_silac_40	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_40_3_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23107.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23107.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	40	fast	not applicable	not applicable	not applicable	f9d622e34dd66b25ea958920be518c636c9952962eecb18a1bf09fdcb523c278	SAMEA7715738
PXD006195-LpxC_30_1	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	LpxC_30_1	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23111.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23111.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	30	slow	Strep-LpxC	Strep-tag	10 ng Anhydrotetracycline	6740d7791c674be9036ec98d10db479e04ba34a4c68a810ebf458890331f986d	SAMEA7715741
PXD006195-super_silac_30	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	LpxC_30_1_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23111.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23111.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	30	slow	not applicable	not applicable	not applicable	191e0ec3a2c156405d6aea1cd9f68aca0af6b3b1a69c40692b51a5704d4a868b	SAMEA7715730
