Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[infect]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[enrichment process]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[enrichment process]	factor value[proteomics data acquisition method]	sampleChecksum	sampleAccession
PXD019113-Sample 11	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	3	no enrichment	run 11	LP1_03_AB_DIA_141.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_03_AB_DIA_141.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	2276b78f832e6c187f3ca02c2b31443225c2ddbe1de11d1d3b4a15f723120ac8	SAMEA7712678
PXD019113-Sample 12	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	1	no enrichment	run 12	LP1_04_AB_DIA_143.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_04_AB_DIA_143.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	80fdd36ac6be7a7e4f9c7582f36a9c8383f7d97df7a23b61601cb85a3fbcff93	SAMEA7712679
PXD019113-Sample 13	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	2	no enrichment	run 13	LP1_05_AB_DIA_144.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_05_AB_DIA_144.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	efff25a5ee11e35726567a793ddf0ed91863fb3802b05dbc6ee0a927b1b25e8e	SAMEA7712680
PXD019113-Sample 14	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	3	no enrichment	run 14	LP1_06_AB_DIA_145.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_06_AB_DIA_145.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	38d46330e3ff169366d2f61efbd14781c3dbd4d997d27ee91320aecc173ea36c	SAMEA7712681
PXD019113-Sample 15	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	run 15	LP1_07_AB_DIA_143.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_07_AB_DIA_143.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	ac653b0f6490cf0f2f770937a8dd21d5c43d0b0a444f981b2160c496c895e624	SAMEA7712682
PXD019113-Sample 16	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	run 16	LP1_08_AB_DIA_144.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_08_AB_DIA_144.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	92595b9426978a6d8f4688a53ae3d0974bd30694cc4d5a23117986635f3288fb	SAMEA7712683
PXD019113-Sample 17	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	run 17	LP1_09_AB_DIA_145.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_09_AB_DIA_145.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	19179fc25eab6de596c0546f57216e05551df3352ead3d7d13054a8d3333314b	SAMEA7712684
PXD019113-Sample 18	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	run 18	LP1_10_AB_DIA_147.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_10_AB_DIA_147.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	4711ffbc13206a6f9de5224b95ab3c0a159422d7db9c6e7efd86a656bfb0095f	SAMEA7712685
PXD019113-Sample 19	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	run 19	LP1_11_AB_DIA_148.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_11_AB_DIA_148.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	50224143ecc0deb9e37f379086a22c9c5d7193aafb2898155650c29f5bb21790	SAMEA7712686
PXD019113-Sample 20	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	run 20	LP1_12_AB_DIA_149.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_12_AB_DIA_149.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	8450831e6dd2ac768a1f401421bb913cd34d3b3b5b9b42255d19cd7346a33457	SAMEA7712687
