accession,has_pmc,has_by,has_sdrf
PXD001352,False,False,False
PXD000016,False,False,False
PXD000015,False,False,False
PXD012001,False,False,False
PXD002679,True,True,False
PXD000018,False,False,False
PXD001346,True,True,False
PXD002681,False,False,False
PXD002678,True,True,False
PXD002677,True,True,False
PXD000021,False,False,False
PXD001351,False,False,False
PXD001349,True,True,False
PXD000017,False,False,False
PXD013321,False,False,False
PXD013320,False,False,False
PXD008831,True,True,False
PXD015980,True,True,False
PXD014652,False,False,False
PXD008832,True,True,False
PXD008834,False,False,False
PXD013323,False,False,False
PXD008836,True,False,False
PXD013322,False,False,False
PXD001348,True,True,False
PXD007516,True,True,False
PXD007515,False,False,False
PXD015986,True,True,False
PXD008835,True,True,False
PXD008844,False,False,False
PXD007510,True,True,False
PXD012095,False,False,False
PXD012092,False,False,False
PXD008827,True,True,False
PXD015985,False,False,False
PXD008833,False,False,False
PXD007511,True,False,False
PXD008845,True,True,False
PXD008842,True,True,False
PXD015981,False,False,False
PXD008829,False,False,False
PXD007513,False,False,False
PXD008838,True,True,False
PXD008839,True,True,False
PXD008837,False,False,False
PXD012090,False,False,False
PXD008851,True,True,False
PXD008840,True,True,True
PXD008853,False,False,False
PXD008843,False,False,False
PXD008855,False,False,False
PXD012097,False,False,False
PXD008857,False,False,False
PXD012096,True,True,False
PXD007517,False,False,False
PXD012094,False,False,False
PXD008858,False,False,False
PXD007525,False,False,False
PXD008856,False,False,False
PXD008863,True,True,False
PXD007527,False,False,False
PXD006200,True,True,False
PXD012099,True,True,False
PXD006201,False,False,False
PXD007535,False,False,False
PXD007533,False,False,False
PXD008868,True,True,False
PXD007532,True,True,False
PXD006205,True,True,False
PXD006204,True,False,False
PXD006207,True,True,False
PXD007538,False,False,False
PXD007537,True,True,False
PXD008859,True,True,False
PXD007529,True,True,False
PXD000070,True,True,False
PXD000071,False,False,False
PXD000072,False,False,False
PXD013390,False,False,False
PXD012060,True,False,False
PXD000078,False,False,False
PXD000073,True,False,False
PXD012065,False,False,False
PXD012068,True,True,False
PXD013398,True,True,False
PXD013397,True,True,False
PXD012069,True,True,False
PXD000076,False,False,False
PXD012061,False,False,False
PXD008860,True,True,False
PXD000079,False,False,False
PXD012066,False,False,False
PXD012067,False,False,False
PXD013396,True,True,False
PXD008801,False,False,False
PXD000083,False,False,False
PXD000082,False,False,False
PXD008803,False,False,False
PXD008802,False,False,False
PXD013381,True,True,False
PXD013380,False,False,False
PXD012058,True,True,False
PXD000089,False,False,False
PXD012052,True,True,False
PXD012082,True,True,False
PXD012056,True,True,False
PXD008812,False,False,False
PXD000094,False,False,False
PXD012083,True,True,False
PXD012055,True,True,False
PXD012053,True,True,False
PXD000095,True,False,False
PXD013383,False,False,False
PXD012081,True,True,False
PXD000090,False,False,False
PXD008814,True,True,False
PXD000084,True,True,False
PXD012087,False,False,False
PXD008806,True,True,False
PXD012085,False,False,False
PXD008821,True,False,False
PXD012088,False,False,False
PXD008807,True,True,False
PXD008820,True,False,False
PXD012089,True,False,False
PXD008805,False,False,False
PXD008823,True,False,False
PXD012086,False,False,False
PXD008808,False,False,False
PXD008822,True,False,False
PXD008824,False,False,False
PXD008825,False,False,False
PXD012078,False,False,False
PXD008818,True,True,False
PXD007589,False,False,False
PXD006255,False,False,False
PXD006257,False,False,False
PXD012076,False,False,False
PXD006250,True,True,False
PXD007582,True,True,False
PXD007586,False,False,False
PXD008819,True,False,False
PXD007583,True,True,False
PXD007584,True,True,False
PXD007588,True,True,False
PXD006256,False,False,False
PXD007587,True,True,False
PXD006253,True,True,False
PXD006254,False,False,False
PXD006252,False,False,False
PXD006251,True,True,False
PXD007580,False,False,False
PXD007585,True,True,False
PXD007598,False,False,False
PXD006268,True,True,False
PXD006266,True,True,False
PXD006269,False,False,False
PXD006267,False,False,False
PXD007590,True,True,False
PXD007599,True,True,False
PXD006262,False,False,False
PXD007592,True,True,False
PXD007596,False,False,False
PXD007595,True,True,False
PXD006279,True,True,False
PXD006263,True,False,False
PXD006271,False,False,False
PXD006277,True,False,False
PXD007594,True,True,False
PXD006274,False,False,False
PXD006270,False,False,False
PXD007591,False,False,False
PXD006280,True,True,False
PXD006276,True,False,False
PXD006272,True,True,False
PXD006265,True,False,False
PXD006283,False,False,False
PXD006285,True,True,False
PXD006281,True,True,False
PXD006289,False,False,False
PXD006287,True,False,False
PXD008874,False,False,False
PXD006211,False,False,False
PXD006286,False,False,False
PXD007544,True,False,False
PXD007542,True,True,False
PXD006215,False,False,False
PXD007543,True,True,False
PXD008873,False,False,False
PXD006212,True,True,False
PXD007545,True,True,False
PXD006223,False,False,False
PXD007546,False,False,False
PXD006209,True,True,False
PXD008884,True,True,False
PXD006216,True,True,False
PXD006224,True,True,False
PXD008871,True,True,False
PXD006217,False,False,False
PXD007547,False,False,False
PXD007555,True,True,True
PXD007556,False,False,False
PXD006225,True,True,False
PXD008870,False,False,False
PXD006226,False,False,False
PXD008888,True,False,False
PXD008881,True,True,False
PXD007552,True,False,False
PXD006227,True,True,False
PXD007565,True,True,False
PXD007557,True,True,False
PXD006233,True,True,True
PXD008886,False,False,False
PXD008896,True,True,False
PXD008882,True,True,False
PXD006235,True,True,False
PXD008898,True,True,False
PXD007566,True,True,False
PXD008895,False,False,False
PXD008897,True,True,False
PXD007551,True,True,False
PXD007567,True,True,False
PXD007569,True,True,False
PXD008899,True,False,False
PXD008894,True,True,False
PXD006236,False,False,False
PXD006232,False,False,False
PXD007564,True,True,False
PXD006238,False,False,False
PXD007575,False,False,False
PXD008892,True,True,False
PXD008891,True,True,False
PXD007560,True,True,False
PXD007561,True,True,False
PXD006245,False,False,False
PXD007579,False,False,False
PXD007570,True,False,False
PXD006247,True,False,False
PXD006249,True,True,False
PXD006237,False,False,False
PXD014716,True,True,False
