pxd,in_pride_cache,experimentTypes,projectTags,experimentTypes_projectTags_combined,experimentTypes_present,projectTags_present,experiment_or_tag_present
PXD005628,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD006156,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological,yes,yes,yes
PXD006603,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD006738,yes,Shotgun proteomics (PRIDE:0000429),Technical,Shotgun proteomics (PRIDE:0000429) || Technical,yes,yes,yes
PXD006856,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD008108,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD008215,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Biological,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430) || Biological,yes,yes,yes
PXD008245,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD008341,yes,Gel-based experiment (PRIDE:0000305),Kidney urine (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Biological,Gel-based experiment (PRIDE:0000305) || Kidney urine (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Biological,yes,yes,yes
PXD008842,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological,yes,yes,yes
PXD009266,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological,yes,yes,yes
PXD009281,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological | Technical,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological | Technical,yes,yes,yes
PXD009298,yes,Shotgun proteomics (PRIDE:0000429),Technical,Shotgun proteomics (PRIDE:0000429) || Technical,yes,yes,yes
PXD009375,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD009584,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD009777,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Biological,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430) || Biological,yes,yes,yes
PXD009864,yes,Top-down proteomics (PRIDE:0000427),Biological,Top-down proteomics (PRIDE:0000427) || Biological,yes,yes,yes
PXD010217,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biomedical,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biomedical,yes,yes,yes
PXD010952,yes,Shotgun proteomics (PRIDE:0000429),Biological | Liver (b/d-hpp),Shotgun proteomics (PRIDE:0000429) || Biological | Liver (b/d-hpp),yes,yes,yes
PXD010963,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD011237,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD011241,yes,Shotgun proteomics (PRIDE:0000429),Biomedical,Shotgun proteomics (PRIDE:0000429) || Biomedical,yes,yes,yes
PXD011507,yes,Shotgun proteomics (PRIDE:0000429),Biological | Technical,Shotgun proteomics (PRIDE:0000429) || Biological | Technical,yes,yes,yes
PXD011542,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD011863,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD011986,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological,yes,yes,yes
PXD011999,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD012068,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD012337,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD012723,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Biological | Technical | Deep learning | Benchmarking | Machine learning,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430) || Biological | Technical | Deep learning | Benchmarking | Machine learning,yes,yes,yes
PXD012811,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biomedical,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biomedical,yes,yes,yes
PXD013216,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD013432,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD013517,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD013599,yes,Shotgun proteomics (PRIDE:0000429),Biomedical,Shotgun proteomics (PRIDE:0000429) || Biomedical,yes,yes,yes
PXD013685,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD013836,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD014164,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD014472,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD014738,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD015234,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD015445,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD015790,yes,Top-down proteomics (PRIDE:0000427) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Top-down proteomics (PRIDE:0000427) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD015800,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD016311,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD016385,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD016814,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD016858,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD016919,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD017229,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD017293,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD017347,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD017351,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD017376,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD017670,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD017772,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD018021,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD018112,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD018749,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD018851,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD019119,yes,Shotgun proteomics (PRIDE:0000429),Sars-cov-2 | Covid-19,Shotgun proteomics (PRIDE:0000429) || Sars-cov-2 | Covid-19,yes,yes,yes
PXD019302,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD019412,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD019470,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD020090,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD020190,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD020332,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD020418,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD020482,yes,SRM/MRM (PRIDE:0000311) | Shotgun proteomics (PRIDE:0000429),,SRM/MRM (PRIDE:0000311) | Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD020585,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD020819,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD021039,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD021186,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD021192,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD021328,yes,Shotgun proteomics (PRIDE:0000429),Sars-cov-2 | Covid-19,Shotgun proteomics (PRIDE:0000429) || Sars-cov-2 | Covid-19,yes,yes,yes
PXD021423,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD021444,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD021514,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD021662,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD021678,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD021970,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD022037,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD022113,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD022606,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD022888,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD023032,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD023258,yes,Gel-based experiment (PRIDE:0000305) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Gel-based experiment (PRIDE:0000305) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD023759,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD023860,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD023906,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD023959,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD023985,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD024044,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD024054,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD024637,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD024642,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD024647,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD024749,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD025175,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD025590,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD025623,yes,Top-down proteomics (PRIDE:0000427),Human proteome project,Top-down proteomics (PRIDE:0000427) || Human proteome project,yes,yes,yes
PXD025757,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD025776,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD025803,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD026139,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD026142,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD026512,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD027015,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD027053,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD027352,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD027640,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD027729,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD027841,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD027882,yes,Gel-based experiment (PRIDE:0000305),Cancer (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Human proteome project,Gel-based experiment (PRIDE:0000305) || Cancer (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Human proteome project,yes,yes,yes
PXD028151,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD028480,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
