pxd,in_pride_cache,experimentTypes,projectTags,experimentTypes_projectTags_combined,experimentTypes_present,projectTags_present,experiment_or_tag_present
PXD034594,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD034865,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD035048,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD035650,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD035722,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036005,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036192,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036197,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036200,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036430,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD036634,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD036675,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036708,yes,Shotgun proteomics (PRIDE:0000429) | Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Shotgun proteomics (PRIDE:0000429) | Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD036779,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD036966,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD037001,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD037474,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD037907,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD037955,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD037990,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD038126,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD038818,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD039035,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD039053,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD039226,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD039267,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD039332,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD039394,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD039401,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD039780,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD039849,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD039939,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD039998,yes,Shotgun proteomics (PRIDE:0000429) | Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Shotgun proteomics (PRIDE:0000429) | Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD040180,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD040208,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD040772,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD040899,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD041051,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
PXD041514,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD041561,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD041775,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD041782,yes,Shotgun proteomics (PRIDE:0000429),Cancer (b/d-hpp) | Human proteome project,Shotgun proteomics (PRIDE:0000429) || Cancer (b/d-hpp) | Human proteome project,yes,yes,yes
PXD042397,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD042575,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD042914,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD043087,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD043500,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD043535,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD043558,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD043924,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
