pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD009864,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD010217,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD010952,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD010963,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD011237,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD011241,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD011507,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite', 'value': ''}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD011542,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD011863,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite', 'value': ''}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD011986,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD011999,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD012068,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD012337,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD012723,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD012811,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD013216,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD013432,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD013517,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD013599,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD013685,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD013836,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD014164,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD014472,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD014738,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD015234,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD015445,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD015790,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD015800,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD016311,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD016385,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD016814,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD016858,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD016919,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD017229,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD017293,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD017347,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD017351,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD017376,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD017670,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD017772,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002877', 'name': 'Q Exactive HF-X'}]",Q Exactive HF-X (MS:1002877),yes
PXD018021,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD018112,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD018749,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD018851,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD019119,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD019302,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD019412,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD019470,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos', 'value': ''}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD020090,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD020190,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD020332,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD020418,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD020482,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000187', 'name': 'Q TRAP', 'value': ''}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q TRAP (MS:1000187) | Q Exactive HF (MS:1002523),yes
PXD020585,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD020819,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD021039,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD021186,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD021192,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD021328,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD021423,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD021444,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD021514,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion Lumos (MS:1002732) | Orbitrap Fusion (MS:1002416),yes
PXD021662,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD021678,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD021970,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD022037,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD022113,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD022606,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD022888,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD023032,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD023258,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD023759,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD023860,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD023906,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD023959,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD023985,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD024044,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD024054,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD024637,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD024642,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap'}]",LTQ Orbitrap (MS:1000449),yes
PXD024647,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD024749,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD025175,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD025590,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",Orbitrap Fusion Lumos (MS:1002732) | LTQ Orbitrap Velos (MS:1001742),yes
PXD025623,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000447', 'name': 'LTQ'}]",LTQ (MS:1000447),yes
PXD025757,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD025776,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD025803,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD026139,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite', 'value': ''}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD026142,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite', 'value': ''}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD026512,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD027015,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD027053,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD027352,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD027640,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD027729,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD027841,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD027882,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap'}]",LTQ Orbitrap (MS:1000449),yes
PXD028151,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD028480,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD029013,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD029059,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002877', 'name': 'Q Exactive HF-X'}]",Q Exactive HF-X (MS:1002877),yes
PXD029141,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap'}]",LTQ Orbitrap (MS:1000449),yes
PXD029335,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD029361,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD029574,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD029629,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD029783,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD030212,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480', 'value': ''}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD030213,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD030548,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD030715,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD030730,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD030847,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Orbitrap Fusion Lumos (MS:1002732) | Q Exactive (MS:1001911) | Q Exactive HF (MS:1002523),yes
PXD030883,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD030927,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD030937,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD030978,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD031064,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000932', 'name': 'TripleTOF 5600'}]",TripleTOF 5600 (MS:1000932),yes
PXD031141,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD031252,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD031703,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD031801,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD031873,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD031971,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD032027,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD032035,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD032086,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD032144,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD032209,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD032360,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD032738,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD032931,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD033047,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD033099,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD033112,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD033196,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD033342,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD033469,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000491', 'name': 'Dionex instrument model'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Dionex instrument model (MS:1000491) | Q Exactive HF (MS:1002523),yes
PXD033536,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD033924,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD034074,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap', 'value': ''}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",LTQ Orbitrap (MS:1000449) | Q Exactive (MS:1001911),yes
PXD034134,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD034576,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap', 'value': ''}]",LTQ Orbitrap (MS:1000449),yes
PXD034583,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD034594,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000932', 'name': 'TripleTOF 5600'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",TripleTOF 5600 (MS:1000932) | Orbitrap Fusion Lumos (MS:1002732),yes
PXD034865,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD035048,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD035650,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
