accession,pubmed_id,pmc_id,raw_file_count,organism,experiment_types,Reannotated,Reannotation_QC
PXD006063,28814519.0,PMC5640825,1,Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus),Shotgun proteomics,True,False
PXD002328,26344197.0,PMC5036527,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD007932,29167427.0,PMC5700196,1,Azumapecten farreri,Shotgun proteomics,True,False
PXD011123,30337525.0,PMC6194001,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD037262,36323699.0,PMC9630536,1,Homo sapiens (human),Gel-based experiment,True,False
PXD013601,31142615.0,PMC6635435,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD064633,40568700.0,PMC12187688,1,Mannheimia haemolytica m42548,Bottom-up proteomics,True,False
PXD029425,35048979.0,PMC8887472,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD027015,34671372.0,PMC8522509,1,Arachis hypogaea var. vulgaris,Gel-based experiment,True,False
PXD040942,36994853.0,PMC10240186,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD007716,30197181.0,PMC6170597,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD007651,31418899.0,PMC6745502,1,Escherichia coli,Gel-based experiment,True,False
PXD039133,38530158.0,PMC11367861,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD039394,36961927.0,PMC10068820,1,Homo sapiens (human),Gel-based experiment,True,False
PXD012422,32265614.0,PMC7110646,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD016314,32129710.0,PMC7346726,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD017655,32321762.0,PMC7261787,1,Homo sapiens (human); Mus musculus (mouse),Gel-based experiment,True,False
PXD017656,32321762.0,PMC7261787,1,Homo sapiens (human),Gel-based experiment,True,False
PXD061884,40598419.0,PMC12211904,1,Mus musculus (mouse),Bottom-up proteomics,True,False
PXD061454,40626562.0,PMC12235508,1,Homo sapiens (human),Data-dependent acquisition,True,False
PXD063968,40617815.0,PMC12228764,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD063709,40593574.0,PMC12219878,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD002278,25551446.0,PMC4281155,1,Phage vb_ecop_su10,Shotgun proteomics,True,False
PXD002840,26635820.0,PMC4645717,1,Gibberella zeae (strain ph-1 / atcc mya-4620 / fgsc 9075 / nrrl 31084) (wheat head blight fungus) (fusarium graminearum),Shotgun proteomics,True,False
PXD044513,39957677.0,PMC11831416,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD014915,33093847.0,PMC7527632,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD065054,41178464.0,PMC12850156,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD029823,35309263.0,PMC8927852,1,Xylocopa violacea,Shotgun proteomics,True,False
PXD030054,35185952.0,PMC8854210,1,Arabidopsis thaliana (mouse-ear cress),SRM/MRM; Gel-based experiment,True,False
PXD010173,31527085.0,PMC6851338,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD067550,41068261.0,PMC12511602,1,Homo sapiens (human),Gel-based experiment,True,False
PXD013432,31332387.0,PMC6814508,1,Vairimorpha necatrix,Shotgun proteomics,True,False
PXD050085,38714822.0,PMC11076292,1,Homo sapiens (human),Bottom-up proteomics; Data-dependent acquisition,True,False
PXD017861,32612236.0,PMC7351614,1,Homo sapiens (human),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD017860,32612236.0,PMC7351614,1,Homo sapiens (human),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD018330,32410369.0,PMC7332986,1,Homo sapiens (human),Gel-based experiment,True,False
PXD018914,33686291.0,PMC8085020,1,Homo sapiens (human),Shotgun proteomics,False,False
PXD022558,33498747.0,PMC7911100,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD006060,28814519.0,PMC5640825,1,Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus),Shotgun proteomics,True,False
PXD022499,35180840.0,PMC8855566,1,Gibberella zeae (strain ph-1 / atcc mya-4620 / fgsc 9075 / nrrl 31084) (wheat head blight fungus) (fusarium graminearum),Shotgun proteomics,True,False
PXD039709,38261949.0,PMC10797181,1,Francisella philomiragia fsc154,Shotgun proteomics,True,False
PXD019907,32826889.0,PMC7442798,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD021263,32902282.0,PMC7664153,1,Sus scrofa domesticus (domestic pig),SRM/MRM,True,False
PXD036005,37433812.0,PMC10336126,1,Saccharomyces cerevisiae (baker's yeast),Shotgun proteomics,True,False
PXD026121,36292738.0,PMC9601720,1,Equus caballus (horse),Top-down proteomics,True,False
PXD059878,41063346.0,PMC12507519,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD004417,28328971.0,PMC5362090,1,Oryza sativa (rice),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD039658,37183585.0,PMC10308350,1,Salmonella typhimurium (strain lt2 / sgsc1412 / atcc 700720),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD023906,33839152.0,PMC8105298,1,Homo sapiens (human),Gel-based experiment,True,False
PXD016781,33980486.0,PMC8115922,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD006928,29983374.0,PMC6082693,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD006938,29983374.0,PMC6082693,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD006884,30013126.0,PMC6048020,1,Escherichia coli,Shotgun proteomics,True,False
PXD003833,27122596.0,PMC4937521,1,Escherichia coli,Shotgun proteomics,True,False
PXD036920,36864172.0,PMC10066369,1,Homo sapiens (human),Gel-based experiment,True,False
PXD012894,30902995.0,PMC6430785,1,Mus musculus (mouse),Shotgun proteomics; Top-down proteomics,True,False
PXD012733,32152317.0,PMC7063047,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD018147,32483152.0,PMC7264179,1,Mus musculus (mouse),Gel-based experiment,True,False
PXD002163,26272980.0,PMC4638043,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD047407,39007910.0,PMC11572193,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD031807,40650288.0,PMC12250093,1,Homo sapiens (human),Gel-based experiment,True,False
PXD020956,34901542.0,PMC8636711,1,Sus scrofa domesticus (domestic pig),Shotgun proteomics,True,False
PXD010409,30264983.0,PMC6199744,1,Trypanosoma brucei,Affinity purification coupled with mass spectrometry proteomics,True,False
PXD040446,38864697.0,PMC11301417,1,Rattus norvegicus (rat),Shotgun proteomics,True,False
PXD000377,23870090.0,PMC3729367,1,Mycobacterium tuberculosis h37rv,Bottom-up proteomics,True,False
PXD028637,35042867.0,PMC8766458,1,Saccharomyces cerevisiae (baker's yeast),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD021643,33214631.0,PMC7678824,1,Streptococcus pneumoniae serotype 2 (strain d39 / nctc 7466),Shotgun proteomics,True,False
PXD044430,38332048.0,PMC10923888,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD035501,36395886.0,PMC9764181,1,Homo sapiens (human),Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD024749,34078606.0,PMC11210306,1,Escherichia coli; Plasmodium falciparum,Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD038934,36701140.0,PMC10073341,1,Homo sapiens (human),Gel-based experiment,True,False
PXD021227,34244496.0,PMC8270938,1,Caenorhabditis elegans,Affinity purification coupled with mass spectrometry proteomics,True,False
PXD022066,33961790.0,PMC8190575,1,Mus musculus (mouse),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD012966,35941338.0,PMC9652266,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD028084,36322753.0,PMC9659396,1,Homo sapiens (human),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD015351,35941338.0,PMC9652266,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD014678,36269050.0,PMC9671498,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD010952,30365498.0,PMC6203259,1,Anas platyrhynchos,Shotgun proteomics,True,False
PXD010312,29895970.0,PMC6169732,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD008246,32859889.0,PMC7455732,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD017432,32826880.0,PMC7442833,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD019902,32826910.0,PMC7442650,1,Homo sapiens (human),SWATH MS,True,False
PXD039072,37377435.0,PMC10415120,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD033099,37378422.0,PMC10354417,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD052755,40785592.0,PMC12493160,1,Homo sapiens (human),Proteogenomics,True,False
PXD027528,35173759.0,PMC8841817,1,Danio rerio (zebrafish) (brachydanio rerio),Top-down proteomics,True,False
PXD062511,40542578.0,PMC12747965,1,Homo sapiens (human),Data-dependent acquisition,True,False
PXD054530,39890949.0,PMC11850076,1,Arabidopsis thaliana (mouse-ear cress),Affinity proteomics; Bottom-up proteomics,True,False
PXD020446,33042758.0,PMC7539214,1,Mus musculus (mouse),Gel-based experiment,True,False
PXD019944,33747727.0,PMC7967050,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD019872,32752210.0,PMC7460313,1,Amphiporus lactifloreus,Shotgun proteomics,True,False
PXD012666,33581340.0,PMC9880814,1,Triticum aestivum (wheat),Shotgun proteomics,True,False
PXD039834,38109791.0,PMC10987295,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD048335,38517968.0,PMC11093074,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD019302,32849481.0,PMC7432431,1,Vibrio fluvialis,Shotgun proteomics,True,False
PXD018983,32726803.0,PMC7116779,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD026512,35036867.0,PMC8749218,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD030322,34975849.0,PMC8718676,1,Escherichia coli,Shotgun proteomics,True,False
PXD047752,38813597.0,PMC11532265,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD037093,37841933.0,PMC10570812,1,Deinagkistrodon acutus,Shotgun proteomics,True,False
PXD002132,27796319.0,PMC5086852,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD066517,39494541.0,PMC11701690,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD043233,37777570.0,PMC10542812,1,Homo sapiens (human),Shotgun proteomics,True,False
