accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC
PXD001331,25503511.0,PMC4263474,0,Crithidia fasciculata,5656,Gel-based experiment,CC BY,False,False
PXD014625,32078678.0,PMC7201919,15,Mus musculus (mouse),10090,Shotgun proteomics,CC BY-NC-SA,False,False
PXD002660,26861288.0,PMC4783884,0,Stichopus japonicus (sea cucumber),307972,Shotgun proteomics,CC BY,False,False
PXD002657,26951071.0,PMC4782372,44,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002665,26745281.0,PMC4706443,72,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD002659,28248256.0,PMC5372226,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002655,26986205.0,PMC4720416,12,Pseudomonas putida (strain bird-1),931281,Shotgun proteomics,CC BY,False,False
PXD015963,31870452.0,PMC6927192,60,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD015960,32130108.0,PMC7056269,0,Mus musculus (mouse),10090,HDMSE; MSE,CC BY,False,False
PXD015964,32010092.0,PMC6978723,2,Lactobacillus suebicus,152335,Shotgun proteomics,CC BY,False,False
PXD013328,31515267.0,PMC6827304,28,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PRD000847,25111155.0,PMC4128672,0,Rattus norvegicus (rat); Ovis aries,10116; 9940,Bottom-up proteomics,CC BY,False,False
PXD014657,31492911.0,PMC6731306,15,Canis familiaris (dog) (canis lupus familiaris),9615,Shotgun proteomics,CC BY,False,False
PXD001342,25329596.0,PMC4203832,8,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD001345,25915650.0,PMC4411035,24,Enterococcus faecalis (streptococcus faecalis),1351,Shotgun proteomics,CC BY,False,False
PXD002672,28785034.0,PMC5547130,97,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD000008,22997008.0,PMC3569869,0,Candida albicans sc5314,237561,Bottom-up proteomics,CC BY,False,False
PXD000005,22864569.0,PMC4354031,144,Homo sapiens (human),9606,Bottom-up proteomics,CC BY-NC-SA,False,False
PXD002668,26419333.0,PMC4588595,172,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002669,26463340.0,PMC4813706,62,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Shotgun proteomics; Gel-based experiment,CC BY,False,False
PXD000011,27117477.0,PMC5227094,49,Mus musculus (mouse),10090,Bottom-up proteomics,CC BY,False,False
PXD013330,31332980.0,PMC6658407,74,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,False,False
PXD013332,31620119.0,PMC6759997,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD014645,31492851.0,PMC6731274,5,Rattus rattus (black rat),10117,Gel-based experiment,CC BY,False,False
PXD012003,31382537.0,PMC6695883,5,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD014664,31892161.0,PMC6982205,120,Mus musculus (mouse),10090,Gel-based experiment,CC BY,False,False
PXD014662,31578229.0,PMC6878006,39,Synechocystis sp. pcc 6803; Bacteria,1148; 2,Shotgun proteomics,CC BY,False,False
PXD001353,25974414.0,PMC4431475,24,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001350,25477889.0,PMC4235293,18,Glycine max,3847,Gel-free quantification method,CC BY,False,False
PXD000022,24392111.0,PMC3879278,6,Equus caballus (horse); Mus musculus (mouse); Bos taurus (bovine),9796; 10090; 9913,Bottom-up proteomics,CC BY,False,False
PXD002687,25255805.0,PMC4200515,64,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001347,27596437.0,PMC5048366,20,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD002679,26986205.0,PMC4720416,84,Pseudomonas putida (strain bird-1),931281,Shotgun proteomics,CC BY,False,False
PXD001346,27596437.0,PMC5048366,80,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD002678,27146306.0,PMC4857092,27,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD002677,27255285.0,PMC4891893,111,Saccharopolyspora erythraea (streptomyces erythraeus),1836,Gel-based experiment,CC BY,False,False
PXD001349,25720653.0,PMC4342551,234,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False
PXD008831,30595436.0,PMC6375733,53,Xenopus laevis (african clawed frog),8355,Shotgun proteomics,CC BY,False,False
PXD015980,31653120.0,PMC6861935,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD008832,30087585.0,PMC6074037,180,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001348,25973932.0,PMC4431810,0,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY,False,False
PXD007516,29283389.0,PMC5796028,11,Bos taurus; Bos taurus (bovine),9913; 9913,Top-down proteomics; Shotgun proteomics,CC BY,False,False
PXD015986,31815942.0,PMC6922451,4,Tetrahymena thermophila,5911,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD008835,29728570.0,PMC5935685,70,Rattus norvegicus (rat),10116,Shotgun proteomics,CC BY,False,False
PXD008827,29760453.0,PMC5951914,81,Komagataella phaffii; Babjeviella inositovora; [candida] boidinii; Lipomyces starkeyi; Kuraishia capsulata; Nakazawaea wickerhamii; Peterozyma xylosa; Ascoidea rubescens; Citeromyces matritensis; Pachysolen tannophilus; Saturnispora dispora; Tortispora caseinolytica; Ambrosiozyma philentoma; Candida parapsilosis; Pichia kudriavzevii; Cyberlindnera jadinii; Ogataea polymorpha; Saccharomycopsis capsularis,460519; 45609; 5477; 29829; 317047; 1538186; 1337056; 54195; 36909; 4918; 29835; 51930; 43984; 5480; 4909; 4903; 460523; 36036,Shotgun proteomics,CC BY,False,False
PXD008845,30699108.0,PMC6353070,320,Rattus norvegicus (rat),10116,Shotgun proteomics,CC BY,False,False
PXD008842,29514927.0,PMC5921570,4,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY-NC-SA,False,False
PXD008838,31284681.0,PMC6678340,179,Salmo salar (atlantic salmon),8030,Shotgun proteomics,CC BY,False,False
PXD008839,30040867.0,PMC6075789,12,Trypanosoma brucei,5691,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD008851,30134841.0,PMC6103977,36,Bos taurus (bovine),9913,Gel-based experiment,CC BY,False,False
PXD008840,29520031.0,PMC5843664,1016,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
