Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[ancestry category]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Characteristics[individual]	assay name	comment[data file]	comment[technical replicate]	comment[fractionation method]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	Material Type	factor value[organism part]	sampleChecksum	sampleAccession
PXD013765-Sample 16	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M12	run 31	M12-CB3_NE_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	31	a96e0438f755899c14d96e829f611b3564ad7d20538e74a2015f64b722f66912	SAMEA7712336
PXD013765-Sample 16	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M12	run 32	M12-CB3_NE_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	32	a96e0438f755899c14d96e829f611b3564ad7d20538e74a2015f64b722f66912	SAMEA7712336
PXD013765-Sample 17	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M12	run 33	M12-CB3_NE_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	33	f346a9a12ffb24ed4280d214cbdfe5707a552632e47079a2636a1d76de94e6bd	SAMEA7712337
PXD013765-Sample 17	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M12	run 34	M12-CB3_NE_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	34	f346a9a12ffb24ed4280d214cbdfe5707a552632e47079a2636a1d76de94e6bd	SAMEA7712337
PXD013765-Sample 18	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M12	run 35	M12-CB3_NE_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	35	fbf21fcc146a8eed9775031012b90decd5d2fdacaee60fc4dff17baf29408106	SAMEA7712338
PXD013765-Sample 18	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M12	run 36	M12-CB3_NE_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	36	fbf21fcc146a8eed9775031012b90decd5d2fdacaee60fc4dff17baf29408106	SAMEA7712338
PXD013765-Sample 19	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	1	M12	run 37	M12-C_CYT_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	37	62444811a48683c1a358f87c2ad0ec739aa72f17163a91c5455738e349bcc2a1	SAMEA7712339
PXD013765-Sample 19	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	1	M12	run 38	M12-C_CYT_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	38	62444811a48683c1a358f87c2ad0ec739aa72f17163a91c5455738e349bcc2a1	SAMEA7712339
PXD013765-Sample 20	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	M12	run 39	M12-C_CYT_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	39	c09d2118b545045757c7720e0fea3f9746563c9e0bdec712c3f2c4e38cfbbc71	SAMEA7712340
PXD013765-Sample 20	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	M12	run 40	M12-C_CYT_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	40	c09d2118b545045757c7720e0fea3f9746563c9e0bdec712c3f2c4e38cfbbc71	SAMEA7712340
PXD013765-Sample 21	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	3	M12	run 41	M12-C_CYT_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	41	c293bc143ed084cfb6e453ae5bac81bdc6937a73165dbd79152a967b24d8aba8	SAMEA7712341
PXD013765-Sample 21	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	3	M12	run 42	M12-C_CYT_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	42	c293bc143ed084cfb6e453ae5bac81bdc6937a73165dbd79152a967b24d8aba8	SAMEA7712341
PXD013765-Sample 22	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	1	M12	run 43	M12-C_NE_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	43	faa82c62eb0dbc23c5078347f71fce7feed94d8413ad29ab7ceea825aafaf46f	SAMEA7712342
PXD013765-Sample 22	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	1	M12	run 44	M12-C_NE_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	44	faa82c62eb0dbc23c5078347f71fce7feed94d8413ad29ab7ceea825aafaf46f	SAMEA7712342
PXD013765-Sample 23	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	M12	run 45	M12-C_NE_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	45	26b9adc5980d26e3580ed97914ce8b8a4203b59c639b42df938aece3663abb61	SAMEA7712343
PXD013765-Sample 23	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	M12	run 46	M12-C_NE_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	46	26b9adc5980d26e3580ed97914ce8b8a4203b59c639b42df938aece3663abb61	SAMEA7712343
PXD013765-Sample 24	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	3	M12	run 47	M12-C_NE_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	47	6d3236c66e425ff8d8b5b3f3dfe10ad459ea74a3380244f8cea557b6b2ed3cc1	SAMEA7712344
PXD013765-Sample 24	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	3	M12	run 48	M12-C_NE_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	48	6d3236c66e425ff8d8b5b3f3dfe10ad459ea74a3380244f8cea557b6b2ed3cc1	SAMEA7712344
PXD013765-Sample 25	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M16	run 49	M16-CB3_CYT_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	49	0a9d555b7615f16370eb565d76fe7d5194e584076f346262acee8854755c775a	SAMEA7712345
PXD013765-Sample 25	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M16	run 50	M16-CB3_CYT_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	50	0a9d555b7615f16370eb565d76fe7d5194e584076f346262acee8854755c775a	SAMEA7712345
PXD013765-Sample 26	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M16	run 51	M16-CB3_CYT_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	51	9bace79f2a7b462d93bdb4c49e668e6566095b2242fe5d4ec8810087b2c6cf07	SAMEA7712346
PXD013765-Sample 26	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M16	run 52	M16-CB3_CYT_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	52	9bace79f2a7b462d93bdb4c49e668e6566095b2242fe5d4ec8810087b2c6cf07	SAMEA7712346
PXD013765-Sample 27	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M16	run 53	M16-CB3_CYT_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	53	889db4b24e515894397627a4a7dd6f0d55a52f50f92f60bb815a014f736cc8e0	SAMEA7712347
PXD013765-Sample 27	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M16	run 54	M16-CB3_CYT_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	54	889db4b24e515894397627a4a7dd6f0d55a52f50f92f60bb815a014f736cc8e0	SAMEA7712347
PXD013765-Sample 28	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M16	run 55	M16-CB3_NE_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	55	f6c3057f7ab6c4791dad0634ed30fb147081edc8e5fe2fcb421bcea4dc07adee	SAMEA7712348
PXD013765-Sample 28	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M16	run 56	M16-CB3_NE_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	56	f6c3057f7ab6c4791dad0634ed30fb147081edc8e5fe2fcb421bcea4dc07adee	SAMEA7712348
PXD013765-Sample 29	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M16	run 57	M16-CB3_NE_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	57	552e71c592c681a26020063a1ee49e3947f83fe30999d85c8b96d4fd4287de01	SAMEA7712349
PXD013765-Sample 29	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M16	run 58	M16-CB3_NE_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	58	552e71c592c681a26020063a1ee49e3947f83fe30999d85c8b96d4fd4287de01	SAMEA7712349
PXD013765-Sample 30	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M16	run 59	M16-CB3_NE_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	59	33a9d96e8706b313cfe62135083e391de7a4f86427baeb75574413bd72222fc6	SAMEA7712350
PXD013765-Sample 30	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M16	run 60	M16-CB3_NE_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	60	33a9d96e8706b313cfe62135083e391de7a4f86427baeb75574413bd72222fc6	SAMEA7712350
PXD013765-Sample 31	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	1	M16	run 61	M16-C_CYT_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	61	cddd83c2cb2d910dece4584cf936fa8e33ea3312a8d3f281f8ab2af5e08256e5	SAMEA7712351
PXD013765-Sample 31	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	1	M16	run 62	M16-C_CYT_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	62	cddd83c2cb2d910dece4584cf936fa8e33ea3312a8d3f281f8ab2af5e08256e5	SAMEA7712351
PXD013765-Sample 32	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	M16	run 63	M16-C_CYT_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	63	bd84293729c9c4f66de6d651b0539bd5e4279dcf5c144ea17b3f807da3fce825	SAMEA7712352
PXD013765-Sample 32	Homo sapiens	cutaneous melanoma cells cytoplasm	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	M16	run 64	M16-C_CYT_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	64	bd84293729c9c4f66de6d651b0539bd5e4279dcf5c144ea17b3f807da3fce825	SAMEA7712352
